itemID,movieCountry
11,37
214,37
215,37
216,37
99,37
228,37
229,37
235,37
237,7
166,37
107,37
74,36
3514,37
3515,37
3516,37
178,37
3545,37
3546,37
3550,36
112,37
167,37
3000,37
2491,37
3744,37
3745,37
2677,36
3847,37
3748,37
3875,8
3907,37
3770,37
3921,37
3927,37
86,13
3923,37
3743,37
3931,37
190,37
191,37
192,37
3965,37
3966,37
3969,37
3971,37
3973,37
1905,37
3970,37
3964,37
3952,37
3347,37
3991,37
15,37
3005,37
2546,37
2986,37
4015,37
4016,13
2646,37
3883,37
3999,37
3958,37
3810,37
3992,37
4019,37
4021,36
4026,37
4027,37
4028,7
4003,37
4037,13
4041,37
4050,13
4055,37
4056,37
4061,37
4004,37
4085,36
4086,37
4066,37
248,37
249,37
250,37
4101,37
2679,37
4054,37
4105,21
2725,37
2205,37
4065,37
3869,37
4070,37
4036,37
4146,37
4138,37
3661,21
4087,37
4162,37
3925,13
4173,37
4071,36
3455,37
4195,11
4199,37
3312,3
4236,37
4237,14
4007,37
3098,37
4281,37
4282,37
4272,37
4228,37
4300,37
4301,36
4270,37
4302,37
4004,37
4147,37
3950,37
172,37
150,37
3954,37
223,37
152,37
151,37
3313,37
3890,7
4306,37
4045,37
4316,36
2628,37
3548,37
2592,37
4163,37
4274,37
196,37
3646,37
4100,37
2143,37
2009,37
4324,36
4288,37
4325,37
2343,36
4326,37
3650,37
4314,36
3635,37
141,37
220,37
3219,13
218,37
4329,36
4331,37
4219,37
4333,37
3773,37
3856,37
3753,37
4348,37
4349,37
4350,37
4351,13
4352,12
3781,37
4353,36
4360,37
4319,13
11,37
214,37
215,37
216,37
99,37
228,37
229,37
235,37
237,7
166,37
107,37
74,36
3514,37
3515,37
3516,37
178,37
3545,37
3546,37
3550,36
112,37
167,37
3000,37
2491,37
3744,37
3745,37
2677,36
3847,37
3748,37
3875,8
3907,37
3770,37
3921,37
3927,37
86,13
3923,37
3743,37
3931,37
190,37
191,37
192,37
3965,37
3966,37
3969,37
3971,37
3973,37
1905,37
3970,37
3964,37
3952,37
3347,37
3991,37
15,37
3005,37
2546,37
2986,37
4015,37
4016,13
2646,37
3883,37
3999,37
3958,37
3810,37
3992,37
4019,37
4021,36
4026,37
4027,37
4028,7
4003,37
4037,13
4041,37
4050,13
4055,37
4056,37
4061,37
4004,37
4085,36
4086,37
4066,37
248,37
249,37
250,37
4101,37
2679,37
4054,37
4105,21
2725,37
2205,37
4065,37
3869,37
4070,37
4036,37
4146,37
4138,37
3661,21
4087,37
4162,37
3925,13
4173,37
4071,36
3455,37
4195,11
4199,37
3312,3
4236,37
4237,14
4007,37
3098,37
4281,37
4282,37
4272,37
4228,37
4300,37
4301,36
4270,37
4302,37
4004,37
4147,37
3950,37
172,37
150,37
3954,37
223,37
152,37
151,37
3313,37
3890,7
4306,37
4045,37
4316,36
2628,37
3548,37
2592,37
4163,37
