userID,location,physical
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,2
15,1,2
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,2
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,2
15,1,2
15,1,1
15,1,1
15,1,2
15,1,2
15,1,2
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,2
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,1,1
15,2,2
15,1,1
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,1,1
15,2,2
15,2,2
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,2,2
15,1,1
15,1,1
15,1,1
15,1,1
15,2,2
15,2,2
15,2,2
15,1,1
15,1,1
15,1,1
15,1,1
15,1,1
15,2,2
15,1,1
15,1,1
15,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,2
315,1,2
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,2
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,2
315,1,2
315,1,1
315,1,1
315,1,2
315,1,2
315,1,2
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,2
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,1,1
315,2,2
315,1,1
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,1,1
315,2,2
315,2,2
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,2,2
315,1,1
315,1,1
315,1,1
315,1,1
315,2,2
315,2,2
315,2,2
315,1,1
315,1,1
315,1,1
315,1,1
315,1,1
315,2,2
315,1,1
315,1,1
315,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,2
615,1,2
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,2
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,2
615,1,2
615,1,1
615,1,1
615,1,2
615,1,2
615,1,2
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,2
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
615,1,1
