userID,time,daytype,season
15,3,1,3
15,3,2,3
15,2,2,3
15,3,1,3
15,3,1,3
15,3,1,3
15,3,1,3
15,3,1,3
15,2,1,3
15,3,1,3
15,3,2,3
15,3,2,3
15,3,2,3
15,2,2,3
15,3,2,3
15,3,1,3
15,3,1,3
15,2,1,3
15,3,2,3
15,3,2,3
15,3,1,3
15,3,1,3
15,3,3,4
15,3,3,4
15,3,3,4
15,4,1,4
15,3,2,4
15,3,1,4
15,3,2,4
15,3,2,1
15,3,1,1
15,3,2,1
15,3,1,1
15,3,1,1
15,3,1,1
15,3,1,1
15,2,2,1
15,3,1,1
15,3,2,1
15,3,2,1
15,3,1,1
15,4,1,1
15,3,1,1
15,2,1,1
15,4,2,1
15,2,1,1
15,3,1,1
15,3,2,1
15,2,1,1
15,3,1,1
15,1,2,1
15,3,1,1
15,3,1,1
15,3,1,1
15,3,3,1
15,1,2,1
15,3,1,2
15,2,1,2
15,3,2,2
15,3,2,2
15,2,1,2
15,3,1,2
15,2,1,2
15,3,1,2
15,2,1,2
15,3,2,2
15,3,2,2
15,3,3,1
15,3,1,2
15,4,1,2
15,3,1,2
15,2,1,2
15,2,1,2
15,3,1,2
15,2,2,2
15,3,1,2
15,2,1,3
15,3,1,2
15,2,1,3
15,3,1,3
15,3,1,3
15,1,2,3
15,3,2,3
15,2,1,3
15,3,2,3
15,3,2,3
15,2,1,3
15,2,2,3
15,3,1,3
15,3,2,2
15,2,2,3
15,3,1,3
15,3,2,3
15,3,1,3
15,3,2,2
15,1,2,3
15,3,1,3
15,3,1,4
15,3,1,4
15,3,1,4
15,3,1,4
15,3,2,4
15,3,1,4
15,3,2,4
15,3,3,4
15,2,2,4
15,3,2,4
15,3,2,4
15,2,2,4
15,2,2,4
15,2,2,4
15,2,2,4
15,3,2,1
15,2,2,1
15,3,2,1
15,3,2,1
15,3,2,1
15,3,1,1
15,3,2,1
15,3,2,4
15,3,1,3
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,3,3,1
15,4,3,4
15,2,3,1
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,3,1,1
15,4,3,4
15,4,3,4
15,3,2,2
15,2,1,1
15,2,1,1
15,1,2,1
15,2,2,1
15,2,2,1
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,4,3,4
15,3,1,1
15,3,2,1
15,3,2,1
15,2,1,1
15,4,3,4
15,4,3,4
15,4,3,4
