userID,itemID,age,sex,city,country,director,movieCountry,movieLanguage,movieYear,genre1,genre2,genre3,actor1,actor2,actor3,time,daytype,season,location,weather,social,endEmo,dominantEmo,mood,physical,decition,interaction,genre,rating
15,11,30,1,10,3,346,37,9,2010,7,18,18,862,61,1378,3,1,3,1,1,2,2,2,1,1,2,1,7,4
15,214,30,1,10,3,493,37,9,2003,14,21,17,704,1622,309,3,2,3,1,5,2,3,3,2,1,2,1,14,3
15,215,30,1,10,3,98,37,9,2010,1,14,17,1857,1562,939,2,2,3,1,2,2,3,3,2,1,2,1,1,2
15,216,30,1,10,3,158,37,9,2003,7,0,0,172,513,535,3,1,3,1,5,2,2,2,1,1,2,1,7,4
15,99,30,1,10,3,396,37,9,2010,1,3,19,1622,699,497,3,1,3,1,5,2,2,2,2,1,1,1,1,5
15,228,30,1,10,3,542,37,9,2009,8,21,0,127,1404,1562,3,1,3,1,5,2,7,4,2,1,2,1,8,4
15,229,30,1,10,3,253,37,9,2002,6,7,8,1679,513,660,3,1,3,1,1,2,6,6,2,1,1,1,6,2
15,235,30,1,10,3,506,37,9,2001,10,17,18,127,98,1840,3,1,3,1,1,2,7,7,2,1,2,1,10,3
15,237,30,1,10,3,804,7,9,2010,1,7,23,1504,1744,517,2,1,3,1,1,2,2,2,1,1,2,1,1,5
15,166,30,1,10,3,126,37,9,2010,4,3,7,862,667,366,3,1,3,1,1,2,2,2,1,1,1,1,4,4
15,107,30,1,10,3,568,37,9,2005,7,12,18,1439,1953,1742,3,2,3,1,1,2,2,2,2,1,2,1,7,5
15,74,30,1,10,3,650,36,9,2005,1,3,13,1478,587,902,3,2,3,1,2,2,1,6,2,2,2,1,1,4
15,3514,30,1,10,3,808,37,9,2004,1,18,0,223,574,1478,3,2,3,1,2,2,7,7,2,2,2,1,1,3
15,3515,30,1,10,3,765,37,9,2005,1,3,12,769,916,1345,2,2,3,1,5,2,2,2,2,1,1,1,1,4
15,3516,30,1,10,3,765,37,9,2007,1,3,12,769,916,1345,3,2,3,1,2,2,2,2,2,1,1,1,1,5
15,178,30,1,10,3,453,37,9,2010,4,3,7,1866,1849,932,3,1,3,1,2,1,2,2,2,1,1,1,4,4
15,3545,30,1,10,3,201,37,9,2010,1,3,7,1344,1284,550,3,1,3,1,5,2,7,7,2,1,1,1,1,2
15,3546,30,1,10,3,52,37,9,2003,10,18,22,1008,1439,1593,2,1,3,1,5,2,1,1,2,1,2,1,10,4
15,3550,30,1,10,3,747,36,9,2005,10,17,21,1439,1715,295,3,2,3,1,1,2,1,1,2,1,2,1,10,3
15,112,30,1,10,3,741,37,9,1984,1,3,0,710,1054,985,3,2,3,1,2,2,2,2,2,1,1,2,1,5
15,167,30,1,10,3,208,37,9,2004,10,17,19,139,82,1330,3,1,3,1,1,2,4,4,2,1,2,1,10,5
15,3000,30,1,10,3,741,37,9,1981,1,3,18,710,1046,1502,3,1,3,1,1,2,2,2,2,1,1,2,1,5
15,2491,30,1,10,3,669,37,9,1985,3,7,19,1351,364,1155,3,3,4,1,1,2,2,2,2,1,1,2,3,4
15,3744,30,1,10,3,669,37,9,1989,3,7,11,1351,364,1837,3,3,4,1,1,2,2,2,2,1,1,2,3,4
15,3745,30,1,10,3,669,37,9,1990,3,7,11,1351,364,1837,3,3,4,1,1,2,2,2,2,1,1,2,3,4
15,2677,30,1,10,3,650,36,9,1979,19,14,21,1873,1746,1915,4,1,4,1,5,2,3,3,2,1,1,1,19,3
15,3847,30,1,10,3,736,37,9,2010,10,16,18,321,354,575,3,2,4,1,1,2,2,2,2,1,2,1,10,5
15,3748,30,1,10,3,221,37,9,2010,1,10,21,969,98,1500,3,1,4,1,2,2,2,2,1,1,2,1,1,4
15,3875,30,1,10,3,291,8,17,2010,6,10,0,332,1990,320,3,2,4,1,1,2,7,7,1,1,1,1,6,3
15,3907,30,1,10,3,727,37,9,1986,1,14,19,556,1488,1144,3,2,1,1,1,2,6,6,2,1,1,1,1,3
15,3770,30,1,10,3,411,37,9,2010,1,3,19,877,640,244,3,1,1,1,5,2,7,7,2,1,1,1,1,2
15,3921,30,1,10,3,716,37,10,2006,6,10,13,1113,856,1613,3,2,1,1,1,2,4,4,2,1,2,1,6,3
15,3927,30,1,10,3,789,37,9,2010,7,0,0,839,1899,1816,3,1,1,1,5,2,7,7,2,1,1,1,7,2
15,86,30,1,10,3,467,13,10,2010,1,3,12,1212,672,1540,3,1,1,1,1,2,2,2,1,1,1,1,1,5
15,3923,30,1,10,3,485,37,9,2007,1,12,21,1437,589,1675,3,1,1,1,1,2,2,2,1,1,1,2,1,4
15,3743,30,1,10,3,591,37,9,2010,7,0,0,1620,172,1483,3,1,1,1,1,2,7,7,2,1,2,1,7,3
15,3931,30,1,10,3,64,37,9,2010,10,21,0,1022,1180,74,2,2,1,1,1,2,4,1,2,1,1,1,10,4
15,190,30,1,10,3,728,37,9,1998,1,3,12,1947,1774,1119,3,1,1,1,5,2,3,7,1,1,1,1,1,4
15,191,30,1,10,3,279,37,9,2002,1,3,12,1947,1119,1640,3,2,1,1,5,2,6,6,1,1,1,1,1,3
15,192,30,1,10,3,176,37,9,2004,1,3,12,1947,917,1667,3,2,1,1,2,2,2,2,1,1,1,1,1,4
15,3965,30,1,10,3,608,37,9,2003,7,0,0,16,794,1258,3,1,1,1,1,2,2,2,2,1,2,1,7,4
15,3966,30,1,10,3,296,37,9,2011,7,18,0,1416,139,1101,4,1,1,1,1,2,2,2,1,1,2,1,7,4
15,3969,30,1,10,3,260,37,9,1944,7,16,0,1582,582,160,3,1,1,1,1,2,2,2,1,1,1,2,7,5
15,3971,30,1,10,3,117,37,9,1953,10,16,18,1171,1322,868,2,1,1,1,1,2,2,2,1,1,1,2,10,5
15,3973,30,1,10,3,81,37,9,1963,7,18,0,793,1742,1206,4,2,1,1,2,2,2,2,1,1,1,2,7,5
